Aika,kWh
2021-12-07 12:00:00,134
2021-12-07 13:00:00,132
2021-12-07 14:00:00,131
2021-12-07 15:00:00,127
2021-12-07 16:00:00,129
2021-12-07 17:00:00,130
2021-12-07 18:00:00,143
2021-12-07 19:00:00,135
2021-12-07 20:00:00,146
2021-12-07 21:00:00,142
2021-12-07 22:00:00,153
2021-12-07 23:00:00,152
2021-12-08 00:00:00,153
2021-12-08 01:00:00,152
2021-12-08 02:00:00,150
2021-12-08 03:00:00,157
2021-12-08 04:00:00,153
2021-12-08 05:00:00,160
2021-12-08 06:00:00,155
2021-12-08 07:00:00,154
2021-12-08 08:00:00,164
2021-12-08 09:00:00,161
2021-12-08 10:00:00,169
2021-12-08 11:00:00,160
2021-12-08 12:00:00,161
2021-12-08 13:00:00,156
2021-12-08 14:00:00,157
2021-12-08 15:00:00,147
2021-12-08 16:00:00,149
2021-12-08 17:00:00,153
2021-12-08 18:00:00,154
2021-12-08 19:00:00,143
2021-12-08 20:00:00,150
2021-12-08 21:00:00,150
2021-12-08 22:00:00,149
2021-12-08 23:00:00,146
2021-12-09 00:00:00,139
2021-12-09 01:00:00,138
2021-12-09 02:00:00,130
2021-12-09 03:00:00,135
2021-12-09 04:00:00,117
2021-12-09 05:00:00,125
2021-12-09 06:00:00,121
2021-12-09 07:00:00,125
2021-12-09 08:00:00,128
2021-12-09 09:00:00,128
2021-12-09 10:00:00,124
2021-12-09 11:00:00,126
2021-12-09 12:00:00,131
2021-12-09 13:00:00,122
2021-12-09 14:00:00,120
2021-12-09 15:00:00,113
2021-12-09 16:00:00,116
2021-12-09 17:00:00,108
2021-12-09 18:00:00,110
2021-12-09 19:00:00,109
2021-12-09 20:00:00,101
2021-12-09 21:00:00,102
2021-12-09 22:00:00,104
2021-12-09 23:00:00,101
2021-12-10 00:00:00,101
2021-12-10 01:00:00,101
2021-12-10 02:00:00,100
2021-12-10 03:00:00,104
2021-12-10 04:00:00,100
2021-12-10 05:00:00,100
2021-12-10 06:00:00,99
2021-12-10 07:00:00,94
2021-12-10 08:00:00,102
2021-12-10 09:00:00,94
2021-12-10 10:00:00,98
2021-12-10 11:00:00,92
2021-12-10 12:00:00,87
2021-12-10 13:00:00,85
2021-12-10 14:00:00,84
2021-12-10 15:00:00,80
2021-12-10 16:00:00,83
2021-12-10 17:00:00,83
2021-12-10 18:00:00,89
2021-12-10 19:00:00,84
2021-12-10 20:00:00,85
2021-12-10 21:00:00,86
2021-12-10 22:00:00,85
2021-12-10 23:00:00,84
2021-12-11 00:00:00,88
2021-12-11 01:00:00,84
2021-12-11 02:00:00,85
2021-12-11 03:00:00,82
