timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Energy_consumption,Outside_temperature_average,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_humidity,Solar_irradiance
2021-08-29 22:00:00+00:00,69.61056566,58.05065036,31.9408313,2.099999905,26.32330514,4.44528233,0,11,10.2,,,,98,-2.4
2021-08-29 23:00:00+00:00,69.46417944,57.98333545,32.88031964,2.099999905,26.29436593,5.822018656,0,13,9.4,,,,98,-2.3
2021-08-30 00:00:00+00:00,70.02068305,58.00321325,33.39487953,2.099999905,26.65672246,6.179021897,0,13,8.5,,,,98,-2.6
2021-08-30 01:00:00+00:00,70.4440764,57.9567272,33.26827176,2.099999905,26.78041277,6.014164833,0,14,7.7,,,,99,-2.4
2021-08-30 02:00:00+00:00,70.70993647,58.10080155,33.79055383,2.099999905,26.87759136,6.182844498,0,15,7.4,,,,98,-2.5
2021-08-30 03:00:00+00:00,71.04567391,57.93925732,34.14759295,2.099999905,27.02691727,7.256893978,0,14,7.3,,,,98,-0.8
2021-08-30 04:00:00+00:00,71.61906817,57.89166581,33.71891836,2.099999905,26.75801288,6.979820663,0,16,7.3,,,,99,48.4
2021-08-30 05:00:00+00:00,71.45839971,57.98146748,31.42806372,2.099999905,25.86804432,4.387227573,0,17,7.3,,,,99,158.5
2021-08-30 06:00:00+00:00,70.62807388,58.11860346,29.40580673,2.099999905,24.97386906,2.963658456,0,20,7.1,,,,82,284.8
2021-08-30 07:00:00+00:00,69.15627806,57.98218775,27.43995742,2.099999905,24.22100102,2.001472652,0,15,9.9,,,,74,404.9
2021-08-30 08:00:00+00:00,68.05833438,58.22032041,25.04316262,2.099999905,24.15753583,1.700000048,0,10,14.1,,,,64,507.5
2021-08-30 09:00:00+00:00,67.46889501,58.13150029,23.45875621,2.099999905,24.10079862,1.700000048,0,8,16.1,,,,62,500.3
2021-08-30 10:00:00+00:00,65.94796237,57.91077782,22.67347631,2.099999905,24.32739207,1.700000048,0,13,17.7,,,,60,192
2021-08-30 11:00:00+00:00,65.72500154,57.61586602,22.44086909,2.099999905,24.59326135,1.700000048,0,11,18.3,,,,50,165.4
2021-08-30 12:00:00+00:00,64.99203406,57.94514741,22.33340642,2.099999905,24.81825964,1.700000048,0,4,18.5,,,,50,613.1
2021-08-30 13:00:00+00:00,64.15276302,57.88310954,22.19087191,2.099999905,25.01825841,1.700000048,0,12,19.6,,,,48,516.6
2021-08-30 14:00:00+00:00,63.2936368,57.98007371,22.10912882,2.099999905,25.21659068,1.700000048,0,3,19.9,,,,52,413.5
2021-08-30 15:00:00+00:00,62.94920647,58.06507792,22.19087292,2.099999905,25.2587189,1.700000048,0,2,19.6,,,,49,155.5
2021-08-30 16:00:00+00:00,62.97420682,57.97500153,22.10000038,2.099999905,24.46071899,1.700000048,0,3,19.4,,,,53,135.5
2021-08-30 17:00:00+00:00,63.39444279,57.91071533,25.09563091,2.099999905,24.52420598,1.700000048,0,2,19.2,,,,62,35.9
2021-08-30 18:00:00+00:00,65.15577751,58.04928612,28.0656968,2.099999905,24.18134214,2.488726442,0,2,18.7,,,,87,-1.8
2021-08-30 19:00:00+00:00,67.15513763,58.07579203,29.95355369,2.099999905,25.22659867,3.859477271,0,6,17.3,,,,93,-2.7
2021-08-30 20:00:00+00:00,68.7654603,57.98412521,31.27458373,2.099999905,25.53011472,4.758386045,0,8,13,,,,96,-2.9
2021-08-30 21:00:00+00:00,69.15316571,58.02421007,32.28362039,2.099999905,26.18773502,4.688029878,0,10,11.2,,,,97,-2.2
2021-08-30 22:00:00+00:00,69.61804032,58.08716846,33.18845378,2.099999905,26.08897629,6.020988266,0,11,10,,,,98,-2.3
2021-08-30 23:00:00+00:00,69.53333295,57.94734297,33.40675268,2.099999905,26.44209458,5.101554966,0,12,9.3,,,,98,-2.2
2021-08-31 00:00:00+00:00,69.66745424,57.9190353,33.38490809,2.099999905,26.39167862,5.490074806,0,14,8.9,,,,98,-1.9
2021-08-31 01:00:00+00:00,69.74166646,58.01587648,33.36035381,2.099999905,26.47168905,5.02522588,0,12,8.1,,,,98,-1.9
2021-08-31 02:00:00+00:00,69.64087604,58.05833351,32.65518179,2.099999905,26.66121647,4.162204474,0,13,8,,,,98,-2.1
2021-08-31 03:00:00+00:00,69.64481815,58.06869187,32.10799687,2.099999905,25.9830044,6.036382709,0,12,7.8,,,,98,-0.9
2021-08-31 04:00:00+00:00,69.75360752,57.97973472,31.14684915,2.099999905,25.39078029,5.522065034,0,12,8.3,,,,98,42.8
2021-08-31 05:00:00+00:00,69.65472263,57.88411954,30.32986073,2.099999905,24.92275718,4.56767417,0,13,8.6,,,,96,148.8
2021-08-31 06:00:00+00:00,69.41320542,57.81948739,28.42672772,2.099999905,24.98050586,1.871861169,0,14,9.8,,,,81,260.4
2021-08-31 07:00:00+00:00,68.02704867,57.5662039,26.19702049,2.099999905,24.74166447,0.100000001,0,16,10.9,,,,73,398.8
2021-08-31 08:00:00+00:00,66.93067161,58.09165867,23.98586297,2.099999905,24.97735691,0.100000001,0,9,14.1,,,,68,496.1
2021-08-31 09:00:00+00:00,65.99969999,57.77027803,23.05440863,2.099999905,25.16745232,0.100000001,0,7,16,,,,62,576.9
