timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Radiator_network_1_secondary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-05 05:00:00+00:00,80.71752573,58.02498323,31.80887811,7.381566142,0,28.58270592,11.14704284,0,23.10000038,3.200000048,0,0,31.87212142,15,,,3.7,92,52,31.87212142
2021-09-05 06:00:00+00:00,80.62436206,58.04082422,30.56932384,5.744999542,0,27.86457041,10.21799393,0,23.10000038,3.200000048,0,0,30.67364409,13,,,6.9,81,282.9,30.67364409
2021-09-05 07:00:00+00:00,80.34273204,57.96731278,29.24955016,15.84531903,0,26.05572738,8.053170066,0,23.10000038,3.200000048,0,0,29.26505266,15,,,10.4,71,299.5,29.26505266
2021-09-05 08:00:00+00:00,80.80798229,58.02291397,28.83423786,3.993489363,0,25.67600994,17.68792173,0,23.10000038,3.200000048,0,0,28.68940087,12,,,11.8,60,353.3,28.68940087
2021-09-05 09:00:00+00:00,80.4830624,58.05027901,28.09246598,10.0619108,0,25.3565343,16.18823942,0,23.10000038,3.200000048,0,0,28.23403139,12,,,12.5,49,369.7,28.23403139
2021-09-05 10:00:00+00:00,79.96839544,57.95830005,27.49329032,11.29603169,0,25.75797822,2.69640552,0,23.10000038,3.200000048,0,0,27.39522554,9,,,12.8,45,410.9,27.39522554
2021-09-05 11:00:00+00:00,79.67411148,58.01733157,26.88433076,8.063361074,0,24.43200071,8.482619739,0,23.10000038,3.200000048,0,0,26.69877333,15,,,12.9,48,372.6,26.69877333
2021-09-05 12:00:00+00:00,79.60866758,58.01639763,26.79924414,11.88879367,0,24.70046448,5.8826395,0,23.10000038,3.200000048,0,0,26.94091062,15,,,12.8,51,326.1,26.94091062
2021-09-05 13:00:00+00:00,79.80807905,57.99939268,27.34039876,12.13202542,0,24.88333382,6.085319192,0,23.10000038,3.200000048,0,0,27.33267537,8,,,12.5,52,237.5,27.33267537
2021-09-05 14:00:00+00:00,79.92474559,57.94328913,27.71486893,10.75002566,0,25.13288671,6.860631013,0,23.10000038,3.200000048,0,0,27.78503079,7,,,12,53,137.1,27.78503079
