timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-01 14:00:00+00:00,68.38870809,57.9757438,27.17109763,2.099999905,23.52796597,3.577205599,0,0,27.12646208,18,,,,12.7,58,119.1,27.12646208
2021-09-01 15:00:00+00:00,68.04630485,58.06666703,28.2081349,2.099999905,24.27626262,5.09037738,0,0,28.37813564,9,,,,11.7,67,53.1,28.37813564
2021-09-01 16:00:00+00:00,67.71740813,57.95759792,29.40423146,2.099999905,24.52870213,4.587349108,0,0,29.40959102,7,,,,12.6,58,56.7,29.40959102
2021-09-01 17:00:00+00:00,68.64513992,57.94999845,32.01474129,2.099999905,25.71470916,5.886090409,0,0,31.93956885,7,,,,11.4,66,17.6,31.93956885
2021-09-01 18:00:00+00:00,69.86497261,57.9840738,33.38330114,2.099999905,26.65169471,5.80413526,0,0,33.46218507,9,,,,10.5,69,-2.3,33.46218507
2021-09-01 19:00:00+00:00,70.83921894,58.08406654,34.32404101,2.099999905,27.23903911,5.59767382,0,0,34.35015461,9,,,,9.9,72,-3,34.35015461
2021-09-01 20:00:00+00:00,71.23407133,58.01592991,34.98552013,2.099999905,27.5039087,6.133264188,0,0,34.9801544,13,,,,9.6,72,-2.6,34.9801544
2021-09-01 21:00:00+00:00,71.45980592,58.05906829,36.08016986,2.099999905,28.1405188,6.398515064,0,0,36.04701109,14,,,,9,76,-2.7,36.04701109
2021-09-01 22:00:00+00:00,71.57230482,58.07500204,35.84331657,2.099999905,27.82436613,6.381519996,0,0,35.95740534,14,,,,8.3,81,-2.6,35.95740534
2021-09-01 23:00:00+00:00,71.78480047,58.13406428,36.58530469,2.099999905,28.31683987,6.529717638,0,0,36.52234631,14,,,,9,78,-2.8,36.52234631
2021-09-02 00:00:00+00:00,71.89313862,58.10760216,37.20293494,2.099999905,28.5451368,6.819353122,0,0,37.19700216,16,,,,8.4,81,-2.7,37.19700216
2021-09-02 01:00:00+00:00,72.18553223,58.07573346,37.67497939,2.099999905,28.86002447,6.878435401,0,0,37.6153329,14,,,,8.5,82,-2.5,37.6153329
2021-09-02 02:00:00+00:00,72.46592888,58.09999301,38.05514641,2.099999905,29.09015553,6.786800088,0,0,37.99073207,16,,,,7.9,82,-2.6,37.99073207
2021-09-02 03:00:00+00:00,72.75806196,58.04263963,38.01666772,2.099999905,29.11422309,8.563978678,0,0,38.08593385,17,,,,7.5,84,-1.5,38.08593385
2021-09-02 04:00:00+00:00,73.81711621,57.89511858,37.86813976,2.099999905,28.84388351,7.992131989,0,0,37.99166664,16,,,,6.8,88,42,37.99166664
2021-09-02 05:00:00+00:00,74.65905605,57.58112488,37.4444345,2.099999905,28.54517123,7.885761896,0,0,37.36736342,17,,,,7.3,86,168.3,37.36736342
