timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Floor_network_1_temperature,Floor_network_1_primary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-06 22:00:00+00:00,76.45909253,58.09030019,36.15475059,22.37911887,32.90509087,15.61740964,24.91738097,0,0,35.96081648,4,,,,6.1,95,-2.7,35.96081648
2021-09-06 23:00:00+00:00,76.66275101,58.04578117,36.62137599,16.02929644,33.82661993,15.71742839,24.89999962,0,0,36.74049074,5,,,,5.5,97,-2.1,36.74049074
2021-09-07 00:00:00+00:00,76.57655764,57.97422146,36.52080069,17.86677169,33.64634172,15.90189183,24.93255384,0,0,36.43779243,4,,,,4.8,98,-2.2,36.43779243
2021-09-07 01:00:00+00:00,76.52187724,57.90156217,35.73567835,17.26899922,32.87994059,17.27582702,24.91744661,0,0,35.71400723,5,,,,7.7,98,-1.5,35.71400723
2021-09-07 02:00:00+00:00,77.88749639,57.89921993,35.59609689,16.87194935,32.34375081,29.9759132,24.89999962,0,0,35.44489678,5,,,,8,96,-1,35.44489678
2021-09-07 03:00:00+00:00,79.01198735,58.0083312,35.26901611,10.9295102,32.46233247,32.70940937,24.89999962,0,0,35.36992606,5,,,,8.7,93,-1.2,35.36992606
2021-09-07 04:00:00+00:00,79.34167177,58.12819686,34.63217329,9.52868274,31.76472294,28.93189333,24.89999962,0,0,34.61970635,4,,,,8.8,91,8.8,34.61970635
2021-09-07 05:00:00+00:00,79.0041622,59.63049414,33.88661334,8.549238421,31.20659416,28.38058333,24.97251594,0,0,34.00577232,10,,,,9.3,88,85,34.00577232
2021-09-07 06:00:00+00:00,78.80744827,57.84983457,32.75495794,16.16524965,29.67758226,16.64314185,24.944998,0,0,32.94089905,10,,,,10,85,264.7,32.94089905
2021-09-07 07:00:00+00:00,77.59683038,58.08091369,31.70517184,15.16071589,27.92352364,16.62223463,25.03080303,0,0,31.65343746,12,,,,11.6,77,349,31.65343746
2021-09-07 08:00:00+00:00,79.06018931,57.85980075,30.38478898,15.18081877,26.55992761,15.90130417,25.11746105,0,0,30.47629253,13,,,,12.6,73,290.1,30.47629253
2021-09-07 09:00:00+00:00,79.60409769,56.19644724,29.65892041,20.13417768,25.62601724,15.88505767,25.07342952,0,0,29.59440706,10,,,,13.7,69,305.5,29.59440706
